,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_file,location_type
117,6,813,813,813,813,813,813,Initiate or influence,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,onshore
118,7,1046,1046,1046,1046,1046,1046,Set strategy or inspire,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,onshore
119,8,202,202,202,202,202,202,Follow,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,offshore
120,9,202,202,202,202,202,202,Assist,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,offshore
121,1,202,202,202,202,202,202,Apply,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,offshore
122,1,214,214,214,214,214,214,Enable,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,offshore
123,1,261,261,261,261,261,261,Ensure or advise,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,offshore
124,1,290,290,290,290,290,290,Initiate or influence,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,offshore
125,1,342,342,342,342,342,342,Set strategy or inspire,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,offshore
126,1,742,742,742,742,742,742,Follow,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026,onshore
127,2,800,800,800,800,800,800,Assist,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026,onshore
128,3,877,877,877,877,877,877,Apply,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026,onshore
129,4,877,877,877,877,877,877,Enable,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026,onshore
130,1,552,552,429,472,456,528,Follow,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,onshore
131,2,552,552,445,490,456,528,Assist,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,onshore
132,3,552,552,480,528,456,528,Apply,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,onshore
133,4,604,604,525,578,499,578,Enable,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,onshore
134,5,776,776,675,743,641,743,Ensure or advise,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,onshore
135,6,874,874,760,836,722,836,Initiate or influence,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,onshore
136,7,990,990,875,950,831,950,Set strategy or inspire,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,onshore
137,1,207,207,145,160,180,180,Follow,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,offshore
138,2,207,207,159,175,180,180,Assist,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,offshore
139,3,207,207,180,198,180,198,Apply,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,offshore
140,4,222,222,193,212,193,212,Enable,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,offshore
141,5,278,278,242,266,242,266,Ensure or advise,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,offshore
142,6,301,301,262,288,262,288,Initiate or influence,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,offshore
143,7,343,343,298,328,298,328,Set strategy or inspire,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,offshore
144,1,609,542,567,522,609,806,Follow,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,onshore
145,2,609,542,567,522,609,806,Assist,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,onshore
146,3,609,542,567,522,609,806,Apply,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,onshore
147,4,609,542,567,522,609,806,Enable,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,onshore
148,5,609,556,581,542,609,806,Ensure or advise,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,onshore
149,6,609,583,609,583,609,806,Initiate or influence,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,onshore
150,7,843,806,843,806,806,806,Set strategy or inspire,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,onshore
151,8,234,197,205,197,224,244,Follow,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,offshore
152,9,234,197,205,197,224,244,Assist,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,offshore
153,1,234,197,205,197,224,244,Apply,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,offshore
154,1,234,197,205,197,224,244,Enable,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,offshore
155,1,234,210,220,210,224,244,Ensure or advise,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,offshore
156,1,234,224,234,224,224,244,Initiate or influence,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,offshore
157,1,255,244,255,244,244,244,Set strategy or inspire,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,offshore
158,1,N/A,N/A,300,300,N/A,N/A,Follow,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,onshore
159,2,N/A,N/A,515,515,N/A,N/A,Assist,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,onshore
160,3,N/A,N/A,540,540,N/A,N/A,Apply,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,onshore
161,4,720,720,630,630,630,630,Enable,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,onshore
162,5,809,809,720,720,720,720,Ensure or advise,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,onshore
163,6,898,898,799,799,799,799,Initiate or influence,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,onshore
164,7,1100,1100,995,995,995,995,Set strategy or inspire,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,onshore
165,1,N/A,N/A,200,N/A,N/A,N/A,Follow,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,offshore
166,2,N/A,N/A,230,N/A,N/A,N/A,Assist,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,offshore
167,3,N/A,N/A,230,N/A,N/A,N/A,Apply,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,offshore
168,4,289,289,289,289,289,289,Enable,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,offshore
169,5,309,309,309,309,309,309,Ensure or advise,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,offshore
170,6,343,343,343,343,343,343,Initiate or influence,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,offshore
171,7,450,450,450,450,450,450,Set strategy or inspire,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,offshore
172,1,645,588,538,615,672,672,Follow,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,onshore
173,2,645,588,538,615,672,672,Assist,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,onshore
174,3,645,588,538,615,672,672,Apply,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,onshore
175,4,645,588,538,615,672,672,Enable,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,onshore
176,5,645,608,591,615,672,672,Ensure or advise,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,onshore
177,6,645,672,645,615,672,672,Initiate or influence,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,onshore
178,7,840,870,705,672,800,800,Set strategy or inspire,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,onshore
179,8,279,218,197,254,254,254,Follow,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,offshore
180,9,279,218,197,254,254,254,Assist,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,offshore
181,1,279,218,197,254,254,254,Apply,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,offshore
182,1,279,218,197,254,254,254,Enable,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,offshore
183,1,279,255,232,254,254,254,Ensure or advise,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,offshore
184,1,279,282,278,254,254,254,Initiate or influence,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,offshore
185,1,325,352,294,295,295,295,Set strategy or inspire,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,offshore
186,1,N/A,N/A,300,300,N/A,N/A,Follow,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,onshore
187,2,N/A,N/A,515,515,N/A,N/A,Assist,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,onshore
