  ,level ,strategy_and_architecture ,change_and_transformation ,development_and_implementation ,delivery_and_operation ,people_and_skills ,relationships_and_engagement ,level_name              ,rate_card_id                                                                 ,business_change ,solution_development_and_implementation ,service_management ,procurement_and_management_support ,client_interface
0 ,    1 ,300.00                    ,300.00                    ,267.00                         ,267.00                 ,300.00            ,300.00                       ,Follow                  ,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601 ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,550.00                    ,550.00                    ,447.00                         ,447.00                 ,550.00            ,550.00                       ,Assist                  ,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601 ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,650.00                    ,650.00                    ,606.00                         ,606.00                 ,650.00            ,650.00                       ,Apply                   ,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601 ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,850.00                    ,850.00                    ,841.00                         ,841.00                 ,850.00            ,850.00                       ,Enable                  ,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601 ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,950.00                    ,950.00                    ,947.00                         ,947.00                 ,950.00            ,950.00                       ,Ensure or advise        ,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601 ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,400.00"                ,"1,400.00"                ,"1,107.00"                     ,"1,107.00"             ,"1,400.00"        ,"1,400.00"                   ,Initiate or influence   ,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601 ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"2,000.00"                ,"2,000.00"                ,"1,447.00"                     ,"1,447.00"             ,"2,000.00"        ,"2,000.00"                   ,Set strategy or inspire ,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601 ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,640                       ,640                       ,640                            ,640                    ,640               ,640                          ,Follow                  ,CapitaBusinessServicesLimited_679395114142830-sfia-rate-card-2022-05-13-0856 ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,750                       ,750                       ,750                            ,750                    ,750               ,750                          ,Assist                  ,CapitaBusinessServicesLimited_679395114142830-sfia-rate-card-2022-05-13-0856 ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,880                       ,880                       ,880                            ,880                    ,880               ,880                          ,Apply                   ,CapitaBusinessServicesLimited_679395114142830-sfia-rate-card-2022-05-13-0856 ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,"1,000"                   ,"1,000"                   ,"1,000"                        ,"1,000"                ,"1,000"           ,"1,000"                      ,Enable                  ,CapitaBusinessServicesLimited_679395114142830-sfia-rate-card-2022-05-13-0856 ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,"1,160"                   ,"1,160"                   ,"1,160"                        ,"1,160"                ,"1,160"           ,"1,160"                      ,Ensure or advise        ,CapitaBusinessServicesLimited_679395114142830-sfia-rate-card-2022-05-13-0856 ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,330"                   ,"1,330"                   ,"1,330"                        ,"1,330"                ,"1,330"           ,"1,330"                      ,Initiate or influence   ,CapitaBusinessServicesLimited_679395114142830-sfia-rate-card-2022-05-13-0856 ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"1,770"                   ,"1,770"                   ,"1,770"                        ,"1,770"                ,"1,770"           ,"1,770"                      ,Set strategy or inspire ,CapitaBusinessServicesLimited_679395114142830-sfia-rate-card-2022-05-13-0856 ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,850 - 1050                ,850 - 1050                ,850 - 1050                     ,nan                    ,nan               ,nan                          ,Follow                  ,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126               ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,1050 - 1400               ,1050 - 1400               ,1050 - 1400                    ,nan                    ,nan               ,nan                          ,Assist                  ,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126               ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,1400 - 1900               ,1400 - 1900               ,1400 - 1900                    ,nan                    ,nan               ,nan                          ,Apply                   ,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126               ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,1900 - 2400               ,1900 - 2400               ,1900 - 2400                    ,nan                    ,nan               ,nan                          ,Enable                  ,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126               ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,2400 - 3100               ,2400 - 3100               ,2400 - 3100                    ,nan                    ,nan               ,nan                          ,Ensure or advise        ,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126               ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,3100 - 3700               ,3100 - 3700               ,3100 - 3700                    ,nan                    ,nan               ,nan                          ,Initiate or influence   ,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126               ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,3700 - 5000               ,3700 - 5000               ,3700 - 5000                    ,nan                    ,nan               ,nan                          ,Set strategy or inspire ,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126               ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,-                         ,-                         ,-                              ,-                      ,-                 ,-                            ,Follow                  ,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006         ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,-                         ,-                         ,-                              ,-                      ,-                 ,-                            ,Assist                  ,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006         ,-               ,-                                       ,-                  ,300                                ,300
2 ,    3 ,600                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Apply                   ,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006         ,600             ,600                                     ,600                ,600                                ,600
3 ,    4 ,830                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Enable                  ,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006         ,830             ,830                                     ,830                ,830                                ,830
4 ,    5 ,975                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Ensure or advise        ,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006         ,975             ,975                                     ,975                ,975                                ,975
5 ,    6 ,"1,275"                   ,-                         ,-                              ,-                      ,-                 ,-                            ,Initiate or influence   ,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006         ,"1,275"         ,"1,275"                                 ,"1,275"            ,"1,275"                            ,"1,275"
6 ,    7 ,"1,500"                   ,-                         ,-                              ,-                      ,-                 ,-                            ,Set strategy or inspire ,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006         ,"1,500"         ,"1,500"                                 ,"1,500"            ,"1,500"                            ,"1,500"
0 ,    1 ,-                         ,-                         ,-                              ,-                      ,-                 ,-                            ,Follow                  ,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004         ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,-                         ,-                         ,-                              ,-                      ,-                 ,-                            ,Assist                  ,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004         ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,1000                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Apply                   ,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004         ,-               ,1000                                    ,-                  ,-                                  ,1000
3 ,    4 ,1000                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Enable                  ,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004         ,-               ,1000                                    ,-                  ,-                                  ,1000
4 ,    5 ,1000                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Ensure or advise        ,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004         ,-               ,1000                                    ,-                  ,-                                  ,1000
5 ,    6 ,1275                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Initiate or influence   ,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004         ,-               ,1275                                    ,-                  ,-                                  ,1275
6 ,    7 ,-                         ,-                         ,-                              ,-                      ,-                 ,-                            ,Set strategy or inspire ,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004         ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,NA                        ,NA                        ,300                            ,300                    ,NA                ,NA                           ,Follow                  ,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,NA                        ,NA                        ,515                            ,515                    ,NA                ,NA                           ,Assist                  ,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,NA                        ,NA                        ,540                            ,540                    ,NA                ,NA                           ,Apply                   ,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,720                       ,720                       ,630                            ,630                    ,630               ,630                          ,Enable                  ,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,809                       ,809                       ,720                            ,720                    ,720               ,720                          ,Ensure or advise        ,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,898                       ,898                       ,799                            ,799                    ,799               ,799                          ,Initiate or influence   ,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1100                      ,1100                      ,995                            ,995                    ,995               ,995                          ,Set strategy or inspire ,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,234                       ,205                       ,205                            ,174                    ,236               ,466                          ,Follow                  ,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,234                       ,205                       ,205                            ,205                    ,236               ,466                          ,Assist                  ,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,234                       ,234                       ,234                            ,234                    ,236               ,466                          ,Apply                   ,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,289                       ,289                       ,289                            ,289                    ,236               ,466                          ,Enable                  ,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,351                       ,351                       ,351                            ,351                    ,277               ,466                          ,Ensure or advise        ,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,351                       ,351                       ,351                            ,351                    ,277               ,466                          ,Initiate or influence   ,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,466                       ,466                       ,466                            ,466                    ,414               ,466                          ,Set strategy or inspire ,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,732                       ,666                       ,519                            ,519                    ,666               ,666                          ,Follow                  ,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,732                       ,666                       ,519                            ,519                    ,666               ,666                          ,Assist                  ,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,732                       ,666                       ,519                            ,519                    ,666               ,666                          ,Apply                   ,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,832                       ,732                       ,586                            ,586                    ,732               ,732                          ,Enable                  ,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027                ,-               ,-                                       ,-                  ,-                                  ,-
