  ,level ,strategy_and_architecture ,change_and_transformation ,development_and_implementation ,delivery_and_operation ,people_and_skills ,relationships_and_engagement ,level_name              ,rate_card_id                                                                 ,business_change ,solution_development_and_implementation ,service_management ,procurement_and_management_support ,client_interface
5 ,    6 ,324                       ,324                       ,324                            ,265                    ,265               ,265                          ,Initiate or influence   ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,434                       ,434                       ,432                            ,324                    ,324               ,324                          ,Set strategy or inspire ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,618                       ,618                       ,618                            ,618                    ,618               ,618                          ,Follow                  ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,618                       ,618                       ,618                            ,618                    ,618               ,618                          ,Assist                  ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,618                       ,618                       ,618                            ,618                    ,618               ,618                          ,Apply                   ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,618                       ,618                       ,618                            ,618                    ,618               ,618                          ,Enable                  ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,806                       ,705                       ,638                            ,806                    ,806               ,806                          ,Ensure or advise        ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,806                       ,806                       ,806                            ,806                    ,806               ,806                          ,Initiate or influence   ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,915                       ,915                       ,913                            ,915                    ,915               ,915                          ,Set strategy or inspire ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,296                       ,229                       ,222                            ,296                    ,296               ,296                          ,Follow                  ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,296                       ,229                       ,222                            ,296                    ,296               ,296                          ,Assist                  ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,296                       ,229                       ,222                            ,296                    ,296               ,296                          ,Apply                   ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,296                       ,229                       ,222                            ,296                    ,296               ,296                          ,Enable                  ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,296                       ,266                       ,259                            ,296                    ,296               ,296                          ,Ensure or advise        ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,296                       ,296                       ,295                            ,296                    ,296               ,296                          ,Initiate or influence   ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,370                       ,370                       ,340                            ,370                    ,370               ,370                          ,"Set strategy or
                                                                                                                                                                         inspire"                ,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,457                       ,457                       ,457                            ,457                    ,457               ,457                          ,Follow                  ,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,482                       ,482                       ,482                            ,482                    ,482               ,482                          ,Assist                  ,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,507                       ,507                       ,507                            ,507                    ,507               ,507                          ,Apply                   ,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,558                       ,558                       ,558                            ,558                    ,558               ,558                          ,Enable                  ,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,863                       ,863                       ,660                            ,660                    ,660               ,660                          ,Ensure or advise        ,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,035"                   ,"1,035"                   ,792                            ,792                    ,792               ,792                          ,Initiate or influence   ,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"1,370"                   ,"1,370"                   ,914                            ,914                    ,914               ,914                          ,Set strategy or inspire ,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,690                       ,690                       ,690                            ,690                    ,690               ,690                          ,Follow                  ,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408             ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,748                       ,748                       ,748                            ,748                    ,748               ,748                          ,Assist                  ,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408             ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,799                       ,799                       ,799                            ,799                    ,799               ,799                          ,Apply                   ,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408             ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,924                       ,924                       ,924                            ,924                    ,924               ,924                          ,Enable                  ,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408             ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,"1,058"                   ,"1,058"                   ,"1,058"                        ,"1,058"                ,"1,058"           ,"1,058"                      ,Ensure or advise        ,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408             ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,430"                   ,"1,430"                   ,"1,430"                        ,"1,430"                ,"1,430"           ,"1,430"                      ,Initiate or influence   ,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408             ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"1,610"                   ,"1,610"                   ,"1,610"                        ,"1,610"                ,"1,610"           ,"1,610"                      ,Set strategy or inspire ,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408             ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,695                       ,695                       ,695                            ,595                    ,695               ,695                          ,Follow                  ,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813             ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,825                       ,825                       ,825                            ,695                    ,825               ,825                          ,Assist                  ,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813             ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,"1,100"                   ,995                       ,995                            ,825                    ,995               ,995                          ,Apply                   ,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813             ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,"1,350"                   ,"1,140"                   ,"1,140"                        ,995                    ,"1,140"           ,"1,140"                      ,Enable                  ,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813             ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,"1,575"                   ,"1,345"                   ,"1,345"                        ,"1,140"                ,"1,345"           ,"1,345"                      ,Ensure or advise        ,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813             ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,800"                   ,"1,545"                   ,"1,545"                        ,"1,345"                ,"1,545"           ,"1,545"                      ,Initiate or influence   ,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813             ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"2,150"                   ,"1,740"                   ,"1,740"                        ,"1,545"                ,"1,740"           ,"1,740"                      ,Set strategy or inspire ,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813             ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,350                       ,350                       ,350                            ,350                    ,350               ,350                          ,Follow                  ,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930                  ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,350                       ,350                       ,350                            ,350                    ,350               ,350                          ,Assist                  ,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930                  ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,390                       ,390                       ,390                            ,390                    ,390               ,390                          ,Apply                   ,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930                  ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,465                       ,465                       ,465                            ,465                    ,465               ,465                          ,Enable                  ,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930                  ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,800                       ,800                       ,800                            ,800                    ,800               ,800                          ,Ensure or advise        ,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930                  ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,995                       ,995                       ,995                            ,995                    ,995               ,995                          ,Initiate or influence   ,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930                  ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1350                      ,1350                      ,1350                           ,1350                   ,1350              ,1350                         ,Set strategy or inspire ,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930                  ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,350                       ,350                       ,350                            ,350                    ,350               ,350                          ,Follow                  ,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252                  ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,350                       ,350                       ,350                            ,350                    ,350               ,350                          ,Assist                  ,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252                  ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,390                       ,390                       ,390                            ,390                    ,390               ,390                          ,Apply                   ,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252                  ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,465                       ,465                       ,465                            ,465                    ,465               ,465                          ,Enable                  ,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252                  ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,800                       ,800                       ,800                            ,800                    ,800               ,800                          ,Ensure or advise        ,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252                  ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,995                       ,995                       ,995                            ,995                    ,995               ,995                          ,Initiate or influence   ,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252                  ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1350                      ,1350                      ,1350                           ,1350                   ,1350              ,1350                         ,Set strategy or inspire ,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252                  ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,450 - 550                 ,450 - 550                 ,450 - 550                      ,450 - 550              ,450 - 550         ,450 - 550                    ,Follow                  ,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718                  ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,650                       ,650                       ,650                            ,650                    ,650               ,650                          ,Assist                  ,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718                  ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,800                       ,800                       ,800                            ,800                    ,800               ,800                          ,Apply                   ,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718                  ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,950                       ,950                       ,950                            ,950                    ,950               ,950                          ,Enable                  ,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718                  ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,"1,070"                   ,"1,070"                   ,"1,070"                        ,"1,070"                ,"1,070"           ,"1,070"                      ,Ensure or advise        ,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718                  ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,250"                   ,"1,250"                   ,"1,250"                        ,"1,250"                ,"1,250"           ,"1,250"                      ,Initiate or influence   ,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718                  ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"1,500"                   ,"1,500"                   ,"1,500"                        ,"1,500"                ,"1,500"           ,"1,500"                      ,Set strategy or inspire ,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718                  ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,495                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Follow                  ,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202                 ,495             ,495                                     ,495                ,495                                ,495
1 ,    2 ,690                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Assist                  ,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202                 ,690             ,690                                     ,690                ,690                                ,690
2 ,    3 ,880                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Apply                   ,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202                 ,880             ,880                                     ,880                ,880                                ,880
3 ,    4 ,1170                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Enable                  ,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202                 ,1170            ,1170                                    ,1170               ,1170                               ,1170
4 ,    5 ,1490                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Ensure or advise        ,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202                 ,1490            ,1490                                    ,1490               ,1490                               ,1490
5 ,    6 ,1860                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Initiate or influence   ,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202                 ,1860            ,1860                                    ,1860               ,1860                               ,1860
6 ,    7 ,2250                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Set strategy or inspire ,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202                 ,2250            ,2250                                    ,2250               ,2250                               ,2250
0 ,    1 ,450                       ,450                       ,450                            ,450                    ,450               ,450                          ,Follow                  ,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118      ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,600                       ,600                       ,600                            ,600                    ,600               ,600                          ,Assist                  ,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118      ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,750                       ,750                       ,770                            ,750                    ,750               ,750                          ,Apply                   ,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118      ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,950                       ,950                       ,950                            ,950                    ,950               ,950                          ,Enable                  ,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118      ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,1050                      ,1050                      ,1050                           ,1050                   ,1050              ,1050                         ,Ensure or advise        ,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118      ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,1300                      ,1300                      ,1300                           ,1300                   ,1300              ,1300                         ,Initiate or influence   ,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118      ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1500                      ,1500                      ,1500                           ,1500                   ,1500              ,1500                         ,Set strategy or inspire ,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118      ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,500                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Follow                  ,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502   ,500             ,500                                     ,500                ,500                                ,500
1 ,    2 ,700                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Assist                  ,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502   ,700             ,700                                     ,700                ,700                                ,700
2 ,    3 ,950                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Apply                   ,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502   ,950             ,950                                     ,950                ,950                                ,950
3 ,    4 ,"1,250"                   ,-                         ,-                              ,-                      ,-                 ,-                            ,Enable                  ,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502   ,"1,250"         ,"1,250"                                 ,"1,250"            ,"1,250"                            ,"1,250"
4 ,    5 ,"1,500"                   ,-                         ,-                              ,-                      ,-                 ,-                            ,Ensure or advise        ,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502   ,"1,500"         ,"1,500"                                 ,"1,500"            ,"1,500"                            ,"1,500"
5 ,    6 ,"1,700"                   ,-                         ,-                              ,-                      ,-                 ,-                            ,Initiate or influence   ,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502   ,"1,700"         ,"1,700"                                 ,"1,700"            ,"1,700"                            ,"1,700"
6 ,    7 ,"2,100"                   ,-                         ,-                              ,-                      ,-                 ,-                            ,Set strategy or inspire ,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502   ,"2,100"         ,"2,100"                                 ,"2,100"            ,"2,100"                            ,"2,100"
0 ,    1 ,285 - 425                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Follow                  ,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512         ,285 - 425       ,285 - 425                               ,285 - 425          ,285 - 425                          ,285 - 425
1 ,    2 ,355 - 525                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Assist                  ,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512         ,355 - 525       ,355 - 525                               ,355 - 525          ,355 - 525                          ,355 - 525
2 ,    3 ,435 - 605                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Apply                   ,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512         ,435 - 605       ,435 - 605                               ,435 - 605          ,435 - 605                          ,435 - 605
3 ,    4 ,515 - 715                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Enable                  ,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512         ,515 - 715       ,515 - 715                               ,515 - 715          ,515 - 715                          ,515 - 715
4 ,    5 ,625 - 815                 ,-                         ,-                              ,-                      ,-                 ,-                            ,"Ensure or
                                                                                                                                                                         advise"                 ,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512         ,625 - 815       ,625 - 815                               ,625 - 815          ,625 - 815                          ,625 - 815
5 ,    6 ,675 - 925                 ,-                         ,-                              ,-                      ,-                 ,-                            ,"Initiate or
                                                                                                                                                                         influence"              ,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512         ,675 - 925       ,675 - 925                               ,675 - 925          ,675 - 925                          ,675 - 925
6 ,    7 ,855 - 1155                ,-                         ,-                              ,-                      ,-                 ,-                            ,"Set strategy
                                                                                                                                                                         or inspire"             ,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512         ,855 - 1155      ,855 - 1155                              ,855 - 1155         ,855 - 1155                         ,855 - 1155
0 ,    1 ,285 - 425                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Follow                  ,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516         ,285 - 425       ,285 - 425                               ,285 - 425          ,285 - 425                          ,285 - 425
1 ,    2 ,355 - 525                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Assist                  ,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516         ,355 - 525       ,355 - 525                               ,355 - 525          ,355 - 525                          ,355 - 525
2 ,    3 ,435 - 605                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Apply                   ,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516         ,435 - 605       ,435 - 605                               ,435 - 605          ,435 - 605                          ,435 - 605
3 ,    4 ,515 - 715                 ,-                         ,-                              ,-                      ,-                 ,-                            ,Enable                  ,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516         ,515 - 715       ,515 - 715                               ,515 - 715          ,515 - 715                          ,515 - 715
4 ,    5 ,625 - 815                 ,-                         ,-                              ,-                      ,-                 ,-                            ,"Ensure or
                                                                                                                                                                         advise"                 ,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516         ,625 - 815       ,625 - 815                               ,625 - 815          ,625 - 815                          ,625 - 815
5 ,    6 ,675 - 925                 ,-                         ,-                              ,-                      ,-                 ,-                            ,"Initiate or
                                                                                                                                                                         influence"              ,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516         ,675 - 925       ,675 - 925                               ,675 - 925          ,675 - 925                          ,675 - 925
6 ,    7 ,855 - 1155                ,-                         ,-                              ,-                      ,-                 ,-                            ,"Set strategy
                                                                                                                                                                         or inspire"             ,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516         ,855 - 1155      ,855 - 1155                              ,855 - 1155         ,855 - 1155                         ,855 - 1155
0 ,    1 ,-                         ,-                         ,525                            ,525                    ,-                 ,-                            ,Follow                  ,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321           ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,-                         ,-                         ,660                            ,660                    ,-                 ,-                            ,Assist                  ,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321           ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,910                       ,910                       ,790                            ,710                    ,810               ,810                          ,Apply                   ,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321           ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,"1,200"                   ,"1,200"                   ,995                            ,960                    ,995               ,995                          ,Enable                  ,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321           ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,"1,500"                   ,"1,500"                   ,"1,250"                        ,"1,200"                ,"1,200"           ,"1,200"                      ,Ensure or advise        ,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321           ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,850"                   ,"1,850"                   ,"1,590"                        ,"1,400"                ,"1,500"           ,"1,500"                      ,Initiate or influence   ,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321           ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"2,400"                   ,"2,400"                   ,"1,925"                        ,"1,680"                ,"1,850"           ,"1,850"                      ,Set strategy or inspire ,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321           ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,550                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Follow                  ,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601    ,550             ,550                                     ,550                ,550                                ,550
1 ,    2 ,775                       ,-                         ,-                              ,-                      ,-                 ,-                            ,Assist                  ,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601    ,775             ,775                                     ,775                ,775                                ,775
2 ,    3 ,1050                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Apply                   ,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601    ,1050            ,1050                                    ,1050               ,1050                               ,1050
3 ,    4 ,1275                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Enable                  ,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601    ,1275            ,1275                                    ,1275               ,1275                               ,1275
4 ,    5 ,1550                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Ensure or advise        ,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601    ,1550            ,1550                                    ,1550               ,1550                               ,1550
5 ,    6 ,1700                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Initiate or influence   ,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601    ,1700            ,1700                                    ,1700               ,1700                               ,1700
6 ,    7 ,1950                      ,-                         ,-                              ,-                      ,-                 ,-                            ,Set strategy or inspire ,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601    ,1950            ,1950                                    ,1950               ,1950                               ,1950
