,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_id
187,6,1430,1430,1430,1430,1430,1430,Initiate or influence,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
188,7,1610,1610,1610,1610,1610,1610,Set strategy or inspire,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
189,1,695,695,695,595,695,695,Follow,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813
190,2,825,825,825,695,825,825,Assist,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813
191,3,1100,995,995,825,995,995,Apply,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813
192,4,1350,1140,1140,995,1140,1140,Enable,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813
193,5,1575,1345,1345,1140,1345,1345,Ensure or advise,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813
194,6,1800,1545,1545,1345,1545,1545,Initiate or influence,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813
195,7,2150,1740,1740,1545,1740,1740,Set strategy or inspire,KainosSoftwareLtd_622263467205050-sfia-rate-card-2022-05-17-0813
196,1,350,350,350,350,350,350,Follow,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930
197,2,350,350,350,350,350,350,Assist,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930
198,3,390,390,390,390,390,390,Apply,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930
199,4,465,465,465,465,465,465,Enable,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930
200,5,800,800,800,800,800,800,Ensure or advise,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930
201,6,995,995,995,995,995,995,Initiate or influence,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930
202,7,1350,1350,1350,1350,1350,1350,Set strategy or inspire,KubrickGroup_131537743784172-sfia-rate-card-2022-05-13-0930
203,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718
204,2,650,650,650,650,650,650,Assist,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718
205,3,800,800,800,800,800,800,Apply,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718
206,4,950,950,950,950,950,950,Enable,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718
207,5,1070,1070,1070,1070,1070,1070,Ensure or advise,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718
208,6,1250,1250,1250,1250,1250,1250,Initiate or influence,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718
209,7,1500,1500,1500,1500,1500,1500,Set strategy or inspire,MosaicIsland_181916258995829-sfia-rate-card-2022-05-18-0718
210,1,495,495,495,495,495,495,Follow,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202
211,2,690,690,690,690,690,690,Assist,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202
212,3,880,880,880,880,880,880,Apply,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202
213,4,1170,1170,1170,1170,1170,1170,Enable,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202
214,5,1490,1490,1490,1490,1490,1490,Ensure or advise,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202
215,6,1860,1860,1860,1860,1860,1860,Initiate or influence,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202
216,7,2250,2250,2250,2250,2250,2250,Set strategy or inspire,NorthHighland_354728664784278-sfia-rate-card-2022-05-18-0202
217,1,450,450,450,450,450,450,Follow,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118
218,2,600,600,600,600,600,600,Assist,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118
219,3,750,750,770,750,750,750,Apply,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118
220,4,950,950,950,950,950,950,Enable,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118
