,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_id
231,1,323,323,323,323,323,323,Follow,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
232,2,371,371,371,371,371,371,Assist,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
233,3,511,511,511,511,511,511,Apply,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
234,4,516,516,516,516,516,516,Enable,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
235,5,537,537,537,537,537,537,Ensure or advise,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
236,1,690,690,690,690,690,690,Follow,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
237,2,748,748,748,748,748,748,Assist,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
238,3,799,799,799,799,799,799,Apply,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
239,4,924,924,924,924,924,924,Enable,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
240,5,1058,1058,1058,1058,1058,1058,Ensure or advise,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
241,6,1430,1430,1430,1430,1430,1430,Initiate or influence,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
